MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
892741587,10000028,3,2023-02-10 11:55:00,3,NULL,NULL,2023-02-10 11:55:00
892741590,10000028,6,2023-02-10 11:55:00,1,NULL,NULL,2023-02-10 11:55:00
892741589,10000028,5,2023-02-10 11:55:00,24,NULL,NULL,2023-02-10 11:55:00
892741588,10000028,4,2023-02-10 11:55:00,255,NULL,NULL,2023-02-10 11:55:00
892746410,10000028,4,2023-02-10 12:00:00,273,NULL,NULL,2023-02-10 12:00:00
892746409,10000028,3,2023-02-10 12:00:00,3,NULL,NULL,2023-02-10 12:00:00
892746411,10000028,5,2023-02-10 12:00:00,24,NULL,NULL,2023-02-10 12:00:00
892746412,10000028,6,2023-02-10 12:00:00,3,NULL,NULL,2023-02-10 12:00:00
892751899,10000028,3,2023-02-10 12:05:00,3,NULL,NULL,2023-02-10 12:05:00
892751900,10000028,4,2023-02-10 12:05:00,245,NULL,NULL,2023-02-10 12:05:00
892751901,10000028,5,2023-02-10 12:05:00,22,NULL,NULL,2023-02-10 12:05:00
892751902,10000028,6,2023-02-10 12:05:00,0,NULL,NULL,2023-02-10 12:05:00
892756343,10000028,5,2023-02-10 12:10:00,23,NULL,NULL,2023-02-10 12:10:00
892756341,10000028,4,2023-02-10 12:10:00,295,NULL,NULL,2023-02-10 12:10:00
892756339,10000028,3,2023-02-10 12:10:00,7,NULL,NULL,2023-02-10 12:10:00
892756346,10000028,6,2023-02-10 12:10:00,1,NULL,NULL,2023-02-10 12:10:00
892762478,10000028,3,2023-02-10 12:15:00,2,NULL,NULL,2023-02-10 12:15:00
892762481,10000028,6,2023-02-10 12:15:00,2,NULL,NULL,2023-02-10 12:15:00
892762480,10000028,5,2023-02-10 12:15:00,24,NULL,NULL,2023-02-10 12:15:00
892762479,10000028,4,2023-02-10 12:15:00,298,NULL,NULL,2023-02-10 12:15:00
892766540,10000028,6,2023-02-10 12:20:00,1,NULL,NULL,2023-02-10 12:20:00
892766539,10000028,5,2023-02-10 12:20:00,22,NULL,NULL,2023-02-10 12:20:00
892766538,10000028,4,2023-02-10 12:20:00,268,NULL,NULL,2023-02-10 12:20:00
892766537,10000028,3,2023-02-10 12:20:00,6,NULL,NULL,2023-02-10 12:20:00
892771947,10000028,6,2023-02-10 12:25:00,0,NULL,NULL,2023-02-10 12:25:00
892771946,10000028,5,2023-02-10 12:25:00,12,NULL,NULL,2023-02-10 12:25:00
892771945,10000028,4,2023-02-10 12:25:00,295,NULL,NULL,2023-02-10 12:25:00
892771944,10000028,3,2023-02-10 12:25:00,2,NULL,NULL,2023-02-10 12:25:00
892775952,10000028,5,2023-02-10 12:30:00,16,NULL,NULL,2023-02-10 12:30:00
892775950,10000028,3,2023-02-10 12:30:00,6,NULL,NULL,2023-02-10 12:30:00
892775951,10000028,4,2023-02-10 12:30:00,299,NULL,NULL,2023-02-10 12:30:00
892775953,10000028,6,2023-02-10 12:30:00,0,NULL,NULL,2023-02-10 12:30:00
892781236,10000028,6,2023-02-10 12:35:00,1,NULL,NULL,2023-02-10 12:35:00
892781233,10000028,3,2023-02-10 12:35:00,2,NULL,NULL,2023-02-10 12:35:00
892781234,10000028,4,2023-02-10 12:35:00,287,NULL,NULL,2023-02-10 12:35:00
892781235,10000028,5,2023-02-10 12:35:00,20,NULL,NULL,2023-02-10 12:35:00
892785148,10000028,3,2023-02-10 12:40:00,6,NULL,NULL,2023-02-10 12:40:00
892785149,10000028,4,2023-02-10 12:40:00,269,NULL,NULL,2023-02-10 12:40:00
892785150,10000028,5,2023-02-10 12:40:00,20,NULL,NULL,2023-02-10 12:40:00
892785151,10000028,6,2023-02-10 12:40:00,2,NULL,NULL,2023-02-10 12:40:00
